[0630/154908.124:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/154908.221:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/162201.641:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/162201.783:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/165942.253:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/165942.329:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/171152.283:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/171152.364:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/172416.586:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/172416.901:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/173637.070:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/173637.179:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/180003.022:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0630/180003.106:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/094300.974:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/094301.025:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/103702.093:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/103702.148:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/111808.413:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/111808.528:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/135755.832:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/135755.882:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/145908.820:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/145908.897:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/154623.908:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/154623.954:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/161909.658:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/161909.744:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/171036.090:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/171036.191:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/171911.856:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/171911.964:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/185402.320:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0702/185402.422:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/095402.378:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/095402.444:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/111823.186:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/111823.273:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/112430.456:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/112430.584:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/140213.078:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/140213.220:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/150117.256:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/150117.330:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/151019.089:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/151019.136:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/153011.453:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/153011.584:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/162617.276:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/162617.356:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/170504.972:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/170505.047:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/172900.511:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/172900.655:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/175606.988:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/175607.058:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/192436.803:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/192436.956:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/203032.457:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0703/203032.611:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/094130.237:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/094130.320:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/095806.448:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/095806.658:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/101939.295:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/101939.358:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/104149.682:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/104149.785:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/155824.121:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/155824.207:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/181715.635:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/181715.686:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/183030.234:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/183030.292:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/191958.066:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/191958.130:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/193443.349:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/193443.438:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/194700.266:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/194700.350:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/200528.791:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/200528.908:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/202235.570:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/202235.677:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203238.578:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203239.674:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203240.143:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203242.213:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203242.461:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203244.830:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203246.500:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203248.581:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203249.894:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203250.008:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203251.925:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203253.926:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203255.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203258.937:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203304.523:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203305.286:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203306.511:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203310.565:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203311.435:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/203327.331:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/204331.640:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/204331.813:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/204331.960:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0704/204816.744:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/095104.049:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/095104.133:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/100127.658:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/100127.712:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/101505.398:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/101505.440:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/104132.844:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/104132.934:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/104459.840:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/104459.950:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/105226.908:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/105226.961:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/140015.890:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/140015.943:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/140528.248:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/140528.295:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/143257.930:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/143258.084:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/150440.321:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/150440.382:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/155422.934:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/155423.041:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0705/175814.631:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
